Gmt time,Open,High,Low,Close,Volume
04.07.2010 21:00:00.000,1.25559,1.25662,1.25060,1.25375,82947700439.45
05.07.2010 21:00:00.000,1.25376,1.26625,1.24790,1.26228,82297799682.62
06.07.2010 21:00:00.000,1.26237,1.26642,1.25524,1.26375,81683399658.2
07.07.2010 21:00:00.000,1.26366,1.27116,1.26178,1.26973,81227600830.08
08.07.2010 21:00:00.000,1.26954,1.27220,1.26086,1.26386,82695001098.63
11.07.2010 21:00:00.000,1.26364,1.26481,1.25485,1.25962,81963500610.35
12.07.2010 21:00:00.000,1.25952,1.27380,1.25224,1.27243,82709300415.04
13.07.2010 21:00:00.000,1.27241,1.27786,1.26817,1.27425,81558199951.17
14.07.2010 21:00:00.000,1.27421,1.29552,1.27073,1.29493,81510499389.65
15.07.2010 21:00:00.000,1.29487,1.30064,1.28878,1.29293,81734100219.73
18.07.2010 21:00:00.000,1.29239,1.29916,1.28682,1.29401,81555599121.09
19.07.2010 21:00:00.000,1.29412,1.30282,1.28386,1.28787,81743800048.83
20.07.2010 21:00:00.000,1.28757,1.29134,1.27299,1.27535,81586400268.56
21.07.2010 21:00:00.000,1.27540,1.29322,1.27374,1.28930,81333900512.7
22.07.2010 21:00:00.000,1.28916,1.29657,1.27928,1.29085,81932300170.9
25.07.2010 21:00:00.000,1.28985,1.30067,1.28746,1.29938,81837899780.27
26.07.2010 21:00:00.000,1.29920,1.30464,1.29503,1.29962,82249000488.28
27.07.2010 21:00:00.000,1.29938,1.30424,1.29659,1.29936,82100800415.04
28.07.2010 21:00:00.000,1.29946,1.31050,1.29779,1.30782,81787999145.51
29.07.2010 21:00:00.000,1.30779,1.30937,1.29783,1.30496,81492499633.79
31.07.2010 21:00:00.000,1.30496,1.30497,1.30496,1.30497,0
01.08.2010 21:00:00.000,1.30545,1.31945,1.30506,1.31802,81878799438.48
02.08.2010 21:00:00.000,1.31803,1.32621,1.31448,1.32280,81494100219.73
03.08.2010 21:00:00.000,1.32289,1.32395,1.31303,1.31597,80886700561.52
04.08.2010 21:00:00.000,1.31595,1.32355,1.31179,1.31891,82413899780.27
05.08.2010 21:00:00.000,1.31885,1.33345,1.31551,1.32765,82183100097.66
08.08.2010 21:00:00.000,1.32863,1.33078,1.32140,1.32208,81484099487.31
09.08.2010 21:00:00.000,1.32201,1.32343,1.30744,1.31765,82105600463.87
10.08.2010 21:00:00.000,1.31744,1.31878,1.28585,1.28617,82109199951.17
11.08.2010 21:00:00.000,1.28641,1.29325,1.27807,1.28266,82022199584.96
12.08.2010 21:00:00.000,1.28283,1.29064,1.27468,1.27507,81746100097.66
15.08.2010 21:00:00.000,1.27562,1.28709,1.27322,1.28253,81221399902.34
16.08.2010 21:00:00.000,1.28223,1.29165,1.28026,1.28841,81611299682.62
17.08.2010 21:00:00.000,1.28841,1.29210,1.28206,1.28521,81372000244.14
18.08.2010 21:00:00.000,1.28512,1.29027,1.27722,1.28215,82459100341.8
19.08.2010 21:00:00.000,1.28217,1.28327,1.26611,1.27085,81584999633.79
22.08.2010 21:00:00.000,1.27034,1.27304,1.26443,1.26567,81480599609.38
23.08.2010 21:00:00.000,1.26563,1.27189,1.25843,1.26259,81990999633.79
24.08.2010 21:00:00.000,1.26238,1.27241,1.26057,1.26581,82531400390.63
