id,pair,mode,ind,p1,p2,p3,cnt,train_sr,winrate,ev,sharpe,dsr,p_val,n_trades,p_adj
561,EURUSD,HA,DynETD,200,2.0,100,658,0.16676311686802262,0.5005107420587848,3.2487267e-06,0.1667631341820395,0.0,9.440597879550872e-06,658,1.9088428395482128e-05
562,EURUSD,HA,DynETD,200,1.5,200,488,0.20602970728778566,0.5018534408786682,4.1692165e-06,0.2060297325661766,0.0,2.6651959724732777e-06,488,5.907613532567773e-06
563,EURUSD,HA,DynETD,200,2.0,200,376,0.1266997697607147,0.5027427827623077,2.9087655e-06,0.12669977434209073,0.0,0.007009039573684928,376,0.008384550947452822
564,EURUSD,HA,DynETD,200,0.5,250,649,0.27782545835662154,0.5004209049456331,4.559853e-06,0.277825466806535,0.0,7.326361739501408e-13,649,3.5517858959337237e-12
565,EURUSD,HA,DynETD,200,1.0,250,520,0.16880801569207127,0.5002220725819161,3.1015757e-06,0.1688080460065081,0.0,5.919995828529423e-05,520,0.00010508943344434458
566,EURUSD,HA,DynETD,200,1.5,250,399,0.23553532272431177,0.5026372944461681,4.9763107e-06,0.23553536484556375,0.0,1.2704798862950284e-06,399,2.941977166867538e-06
567,EURUSD,HA,DynETD,200,0.5,300,607,0.2648287667554662,0.4997496184662343,4.3788073e-06,0.26482874710142923,0.0,3.407252258114113e-11,607,1.3711709329983494e-10
568,EURUSD,HA,DynETD,200,1.0,300,466,0.1549039222225248,0.5001584690381684,2.8748557e-06,0.15490393119572565,0.0,0.00041302328154335655,466,0.0006305640891334117
569,EURUSD,HA,DynETD,200,1.5,300,351,0.12778699189258516,0.5012627343549354,2.8393533e-06,0.12778703513695464,0.0,0.008330844994834496,351,0.009796128369812479
570,EURUSD,HA,DynETD,200,0.5,350,576,0.11989440410861954,0.4994897530404716,1.980379e-06,0.11989438347743708,0.0,0.0020044205997812314,576,0.0026375629797121282
571,EURUSD,HA,DynETD,200,1.5,350,311,0.15673392870300143,0.5009443762394938,3.6379301e-06,0.15673394937754323,0.0,0.0028545855926525032,311,0.003668916986525466
572,EURUSD,HA,DynETD,200,2.0,350,221,0.11324734926369755,0.5026347221246399,3.2217904e-06,0.11324736531630947,0.0,0.046134999816854094,221,0.04786722759470844
573,EURUSD,HA,DynETD,200,0.5,400,565,0.10907486684405711,0.49970189207276267,1.8072724e-06,0.10907488330212944,0.0,0.0047615614009065554,565,0.0058306268853050725
574,EURUSD,HA,DynETD,200,1.0,400,421,0.17692407673479335,0.5005252790544977,3.377113e-06,0.17692411969641586,0.0,0.00014161213369967562,421,0.00023109539141147854
575,EURUSD,HA,DynETD,200,1.5,400,283,0.21116021948930633,0.5014259981987391,4.9417736e-06,0.2111602549100386,0.0,0.00019096477296265402,283,0.0003026955961492164
576,EURUSD,HA,DynETD,200,0.5,450,556,0.1391659319532206,0.49998160660200364,2.304096e-06,0.13916591425584315,0.0,0.0005163121660128889,556,0.0007712122263507836
577,EURUSD,HA,DynETD,200,1.0,450,396,0.19886312919559312,0.501821602668263,3.827667e-06,0.19886315271123128,0.0,3.789660727948618e-05,396,6.919887100152874e-05
578,EURUSD,HA,DynETD,200,1.5,450,261,0.25104357720331694,0.5029069009568006,6.0146886e-06,0.25104359515146724,0.0,2.4988619080623664e-05,261,4.762198900652188e-05
579,EURUSD,HA,DynETD,200,1.0,500,373,0.14979095809122542,0.5013946880576586,2.9031694e-06,0.14979096356930133,0.0,0.0019082465409462346,373,0.002519006978414695
580,EURUSD,HA,DynETD,200,1.5,500,241,0.1988583126646138,0.5032929326470751,4.928871e-06,0.19885831814748103,0.0,0.0010105596308748188,241,0.0014151248885054472
581,GBPAUD,Normal,DPV,50,0.05,0,2039,0.15194285496881896,0.5039646372584761,3.0909641e-06,0.1519428423801165,0.0,3.4184877151233195e-12,2039,1.5154686180947764e-11
582,GBPAUD,Normal,DPV,50,0.15000000000000002,0,1272,0.1609762998097461,0.5046733138178522,3.7303764e-06,0.16097630622884748,0.0,4.6993580138376956e-09,1272,1.4375526913178781e-08
583,GBPAUD,Normal,DPV,50,0.2,0,1038,0.20235998697265006,0.504621692794401,5.146245e-06,0.20235997275409998,0.0,3.523936698002217e-11,1038,1.4112770640791488e-10
584,GBPAUD,Normal,DPV,50,0.25,0,799,0.2940442376050051,0.5053923896086279,8.231612e-06,0.2940442512348611,0.0,0.0,799,0.0
585,GBPAUD,Normal,VR-MR,300,0.23,2,242,0.13146750538779625,0.48963317384370014,6.2293286e-05,0.13146750522790118,0.0,0.02041981836154294,242,0.0220704425315764
586,GBPAUD,Normal,VR-MR,300,0.24000000000000002,2,218,0.22983410036564,0.4964788732394366,0.00011589357,0.2298341285884293,0.0,0.0003450778805423882,218,0.0005297584499437774
587,GBPAUD,Normal,VR-MR,400,0.19,2,347,0.19760438425644253,0.5005488474204172,8.227762e-05,0.19760435543813565,0.0,0.00011617814209541333,347,0.0001926233595941953
588,GBPAUD,Normal,VR-MR,400,0.21000000000000002,2,239,0.294893634891843,0.5161290322580645,0.00014616929,0.29489363157553494,0.0,2.5705626978123064e-06,239,5.728485151845166e-06
589,GBPAUD,Normal,VR-MR,400,0.22,2,197,0.257706556879963,0.513671875,0.00013691564,0.2577065112413316,0.0,0.00014897074834974156,197,0.00024120459058971826
590,GBPAUD,Normal,VR-MR,400,0.23,2,148,0.2519677048458074,0.5158730158730159,0.00015758816,0.2519677029999959,0.0,0.0010871882439404956,148,0.0015071556090747004
591,GBPAUD,Normal,VR-MR,500,0.19,2,254,0.10743422742634536,0.5074626865671642,5.2045252e-05,0.10743418265323552,0.0,0.04342814757881108,254,0.04522856073220401
592,GBPAUD,Normal,VR-MR,500,0.2,2,168,0.2506225992548956,0.5078299776286354,0.00014497092,0.2506226259655898,0.0,0.0005801973657355575,168,0.0008497943749024331
593,GBPAUD,Normal,VR-MR,500,0.21000000000000002,2,131,0.2601304129569809,0.5185185185185185,0.00016488487,0.26013036595031325,0.0,0.0014538631475060626,131,0.0019502468434992328
594,GBPAUD,Normal,VR-MR,500,0.22,2,106,0.2649963881252693,0.5197132616487455,0.00020880185,0.2649963634184178,0.0,0.003183040200864462,106,0.004053364556861196
595,GBPJPY,Normal,DPV,100,0.1,0,752,0.17679989921073394,0.5038660688257424,4.6033506e-06,0.1767998695973367,0.0,6.225717500418781e-07,752,1.522454220603885e-06
596,GBPJPY,Normal,DPV,100,0.3,0,194,0.19068339172458626,0.506436059627549,9.992938e-06,0.19068341487845522,6.718720300045565e-235,0.003954705052506502,194,0.004937425434529955
597,GBPJPY,Normal,DPV,100,0.35000000000000003,0,126,0.2532011115471815,0.5094352115473747,1.5450487e-05,0.2532010418587363,0.0,0.00224034694184716,126,0.002912267198125099
598,GBPJPY,Normal,DPV,150,0.25,0,152,0.13201023225208552,0.5037089499384948,5.901028e-06,0.13201025291004165,0.0,0.05181211049669765,152,0.05355640848100044
599,GBPJPY,Normal,DPV,200,0.25,0,102,0.2500839806775789,0.5050876813163022,1.233654e-05,0.2500839795144959,4.734060592641976e-263,0.005773001121791355,102,0.006996809839130165
600,GBPJPY,Normal,DynETD,150,1.5,50,1398,0.10204429117356686,0.49691400017316234,2.4261599e-06,0.10204432308348296,0.0,6.797554802995265e-05,1398,0.00011863521961438052
601,GBPJPY,Normal,DynETD,150,2.0,50,1174,0.22340870733101847,0.4972610364121042,5.785433e-06,0.22340870365267776,0.0,9.658940314238862e-15,1174,6.354969460717474e-14
602,GBPJPY,Normal,DynETD,150,0.5,100,1199,0.25452739752831643,0.4972843894041206,5.871446e-06,0.25452730574057125,0.0,0.0,1199,0.0
603,GBPJPY,Normal,DynETD,150,1.0,100,1062,0.2130517246649662,0.4974192524983832,5.1683164e-06,0.21305169196916254,0.0,1.919242542669508e-12,1062,8.839178154850123e-12
604,GBPJPY,Normal,DynETD,200,2.0,50,1080,0.13799619610036729,0.4989676149827474,3.4954307e-06,0.13799623048648083,0.0,2.8799164065729244e-06,1080,6.316007145632154e-06
605,GBPJPY,Normal,Hurst,400,0.4,20,6617,0.10572407182543438,0.4899627127505882,2.7329252e-06,0.10572415943011768,0.0,0.0,6617,0.0
606,GBPJPY,Normal,Hurst,400,0.7,20,857,0.13294712411577878,0.4834296138643965,1.2198791e-05,0.13294712617970852,0.0,4.971698993838647e-05,857,8.92107893050268e-05
607,GBPJPY,HA,DPV,50,0.3,0,769,0.1488979644998319,0.5035259018171956,5.2050877e-06,0.14889799067346388,0.0,1.82118550247079e-05,769,3.5192605630496157e-05
608,GBPJPY,HA,DPV,50,0.35000000000000003,0,593,0.31147396877111605,0.5042441860465117,1.2461132e-05,0.3114740305081906,0.0,1.6653345369377348e-14,593,1.0619710239395247e-13
609,GBPJPY,HA,DynETD,100,1.5,250,495,0.13719193211217667,0.5014160083469966,5.4406787e-06,0.13719193652684855,0.0,0.0011353695177449552,495,0.001568702217017613
610,GBPJPY,HA,DynETD,100,2.0,250,361,0.17420503239011106,0.5053218884120172,8.369925e-06,0.17420497635208262,0.0,0.0004666556252836962,361,0.0007033772970185166
