id,pair,mode,ind,p1,p2,cnt,train_sr,winrate,ev,sharpe,dsr,p_val,n_trades,p3,p_adj
4606,EURJPY,Normal,DynRSI,100,270.0,170,0.12482732094181206,0.5024100156494523,4.763759e-06,0.12482729529138063,7.469292578027493e-119,0.051810295752131474,170,3.0,0.052138745479803475
4607,EURJPY,Normal,DynRSI,100,280.0,321,0.31323973530686733,0.5052276336686077,8.73069e-06,0.31323978701678873,7.387287337189887e-129,9.991281135768304e-09,321,2.5,2.1056571507115985e-08
4608,EURJPY,Normal,DynRSI,100,280.0,237,0.1835533357405971,0.5038939446972348,5.861883e-06,0.1835533568028516,3.051939632917977e-139,0.002358370558017797,237,2.75,0.0025820694562456795
4609,EURJPY,Normal,DynRSI,100,290.0,402,0.17303921173440098,0.5048634493078937,4.315919e-06,0.17303924895792416,4.1971898313919556e-242,0.00026078571418353125,402,2.25,0.00031438669757402187
4610,EURJPY,Normal,DynRSI,100,290.0,312,0.28858007294708976,0.5046653144016228,8.144902e-06,0.28858010777827203,4.742460129920346e-136,1.7222875348110733e-07,312,2.5,3.1209194643937494e-07
4611,EURJPY,Normal,DynRSI,100,290.0,229,0.19807053074861167,0.5045481287052541,6.441897e-06,0.1980705739678777,2.3951763335353536e-127,0.0013616817365249556,229,2.75,0.001524534163227508
4612,EURJPY,Normal,DynRSI,100,300.0,396,0.20546964742333063,0.5050059854173469,5.159431e-06,0.20546964745036253,2.0403499410006806e-219,2.168105228528283e-05,396,2.25,3.0127764955537503e-05
4613,EURJPY,Normal,DynRSI,100,300.0,306,0.38979754188490456,0.5050765789020822,1.1103731e-05,0.38979758465811176,5.02749808614307e-100,4.59421389820136e-12,306,2.5,1.4204058592491451e-11
4614,EURJPY,Normal,DynRSI,100,300.0,223,0.1305232673578368,0.5042956864148918,4.2084475e-06,0.1305232714707269,1.0724273211974429e-146,0.02564006448977474,223,2.75,0.026097922784235002
4615,EURJPY,Normal,DynRSI,100,300.0,155,0.11111971915010499,0.5036296484971982,4.1949147e-06,0.11111972269867669,1.9619864753778424e-105,0.08326662189032752,155,3.0,0.08337957939136574
4616,EURJPY,Normal,DynRSI,150,10.0,102,0.31884195980047786,0.5095011876484561,5.189499e-05,0.3188419418775138,5.40422493686091e-62,0.000640627149536277,102,2.75,0.0007406091314490256
4617,EURJPY,Normal,DynRSI,150,110.0,676,0.13425768120031875,0.5048325854332067,3.2117025e-06,0.13425770941657075,0.0,0.0002408780391480736,676,2.5,0.00029172128727998446
4618,EURJPY,Normal,DynRSI,150,120.0,769,0.12353006410916155,0.5049644508011525,2.7135468e-06,0.12353009311298815,0.0,0.00030672786938390484,769,2.25,0.0003668954412343694
4619,EURJPY,Normal,DynRSI,150,120.0,627,0.21683364387438772,0.5053484030475806,5.2716687e-06,0.21683360641745256,0.0,2.8255035311453014e-08,627,2.5,5.6194137990432556e-08
4620,EURJPY,Normal,DynRSI,150,120.0,492,0.11849114127676795,0.5041837055677886,3.2859405e-06,0.11849114682218545,0.0,0.004291134756860271,492,2.75,0.0045842696588413185
4621,EURJPY,Normal,DynRSI,150,140.0,689,0.13664279326462017,0.5046719026030692,3.0597375e-06,0.13664280613413896,0.0,0.0001674375628601954,689,2.25,0.00020711191793088102
4622,EURJPY,Normal,DynRSI,150,150.0,295,0.10038089884811514,0.5042239597375753,3.276457e-06,0.10038088912077471,3.9866684367544575e-209,0.04234504141884299,295,3.0,0.04271247926116282
4623,EURJPY,Normal,DynRSI,150,160.0,377,0.2155232630038199,0.5058521560574949,6.0366287e-06,0.2155232404643544,1.0132283872426295e-201,1.4276872441376653e-05,377,2.75,2.030338771332661e-05
4624,EURJPY,Normal,DynRSI,150,160.0,283,0.1987779662232283,0.5057150571505715,6.435121e-06,0.19877797747572148,8.141642281625292e-155,0.0004129535092155523,283,3.0,0.0004879488279613573
4625,EURJPY,Normal,DynRSI,150,170.0,570,0.10824805492116873,0.5047772433455938,2.4227124e-06,0.10824807331244692,0.0,0.004877608613869988,570,2.25,0.005187906049464167
4626,EURJPY,Normal,DynRSI,150,170.0,470,0.18436645363440132,0.5050217084270544,4.585328e-06,0.18436646886190847,7.261723610585103e-265,3.207924132409001e-05,470,2.5,4.356414678203853e-05
4627,EURJPY,Normal,DynRSI,150,170.0,359,0.2573634543334336,0.5061029662461644,7.2788193e-06,0.25736345639184843,4.352345799326118e-172,5.403574800944e-07,359,2.75,9.231914684218987e-07
4628,EURJPY,Normal,DynRSI,150,170.0,269,0.17102936232759006,0.5059408177095098,5.514008e-06,0.17102937414040953,5.224303345520444e-158,0.0025151242535985663,269,3.0,0.002746156301743631
4629,EURJPY,Normal,DynRSI,150,180.0,446,0.2475681339624209,0.5065561704331707,6.235739e-06,0.24756814134539737,1.9767372258368225e-205,8.552849151133302e-08,446,2.5,1.6072519350583113e-07
4630,EURJPY,Normal,DynRSI,150,180.0,341,0.21100434928238965,0.5050494497840925,6.008621e-06,0.21100433570234833,3.5998123557455025e-188,4.8807447909915425e-05,341,2.75,6.451287971117212e-05
